spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,alcohol_percentage,sugar_percentage
1228,984,1016,1567,1051,1212,757,1187,1482,944,1080,1073,1805,1185,1069,1444,0,0
1265,969,1055,1607,1106,1230,772,1236,1563,981,1118,1100,1874,1249,1085,1464,0,0
1264,966,1035,1593,1112,1190,752,1215,1625,948,1077,1091,1861,1228,1079,1365,0,0
1259,944,1043,1608,1160,1193,758,1223,1581,942,1078,1096,1862,1244,1087,1503,0,0
1258,936,1021,1600,946,1175,735,1196,1532,924,1045,1069,1859,1236,1068,1487,0,0
1272,949,1022,1603,1076,1141,710,1185,1518,932,1062,1078,1880,1247,1065,1462,0,0
1282,921,1033,1606,888,1154,719,1190,1606,908,1051,1063,2124,1341,1063,1567,0,0
1296,893,1030,1626,802,1115,696,1177,1721,884,1034,1065,2053,1315,1069,1584,0,0
1304,928,1053,1655,1082,1130,719,1202,1696,913,1057,1093,2070,1339,1078,1568,0,0
1286,953,1045,1638,943,1111,720,1187,1573,894,1033,1054,2048,1314,1058,1566,0,0
1278,889,1013,1623,1091,1096,692,1153,1640,866,1016,1049,2035,1323,1050,1515,0,0
1283,932,1034,1618,1143,1087,686,1169,1632,850,1010,1063,2024,1338,1064,1552,0,0
2386,1569,1978,3052,1655,1556,875,2217,2872,1230,1745,2081,3549,2378,2212,2695,0,1
2242,1540,1874,2882,1672,1510,799,2116,2786,1171,1670,1994,3333,2265,2101,2549,0,1
2213,1531,1825,2798,1477,1516,807,2105,2750,1168,1662,1996,3164,2166,2073,2483,0,1
2142,1519,1796,2719,1361,1478,799,2032,2756,1128,1615,1925,3061,2091,1996,2385,0,1
2168,1427,1795,2735,1436,1430,766,2014,2779,1107,1592,1916,3104,2129,2015,2461,0,1
2055,1371,1692,2592,1285,1377,726,1945,2702,1070,1537,1849,2931,2021,1900,2259,0,1
1995,1365,1641,2502,1400,1381,745,1905,2521,1034,1501,1792,2745,1906,1827,2159,0,1
1989,1367,1642,2489,1213,1344,719,1876,2536,1057,1489,1795,2905,1997,1851,2278,0,1
2004,1341,1677,2527,1307,1345,727,1901,2603,1046,1501,1773,2860,1955,1843,2219,0,1
2040,1307,1680,2572,1343,1348,734,1900,2651,1048,1498,1802,3015,2054,1880,2379,0,1
2023,1335,1678,2551,1385,1357,742,1902,2640,1074,1504,1798,2946,2020,1843,2263,0,1
2013,1312,1676,2533,1442,1352,732,1888,2531,1062,1507,1775,2941,1995,1848,2269,0,1
1987,1322,1652,2500,1455,1364,777,1880,2579,1090,1514,1801,2903,1969,1813,2227,0,1
2009,1304,1669,2496,1595,1413,817,1922,2488,1129,1572,1831,2858,1971,1836,2188,0,1
2036,1313,1684,2538,1652,1439,813,1974,2635,1145,1608,1891,3234,2170,1910,2462,0,1
6211,3554,4974,8827,3322,3336,1786,4918,7442,2523,3623,4439,15549,8624,5449,10480,0,2
6259,3472,4850,8592,3213,3251,1730,4792,7235,2475,3543,4339,15194,8430,5314,10326,0,2
6135,3456,4754,8440,3068,3204,1721,4716,7117,2439,3486,4268,14927,8268,5230,10089,0,2
6045,3386,4696,8324,3098,3194,1716,4649,6952,2447,3455,4219,14713,8145,5165,9992,0,2
5994,3357,4637,8214,3002,3139,1708,4599,6870,2422,3428,4176,14539,8061,5119,9893,0,2
5933,3299,4593,8150,2991,3122,1672,4556,6823,2391,3398,4115,14393,7978,5068,9749,0,2
5884,3281,4595,8108,2857,3138,1680,4556,6774,2398,3390,4129,14296,7923,5045,9655,0,2
5866,3257,4545,8029,2990,3133,1711,4529,6762,2390,3378,4118,14185,7882,4989,9593,0,2
5799,3228,4503,7964,2867,3086,1673,4480,6707,2378,3346,4063,14058,7796,4958,9522,0,2
5778,3208,4495,7924,2911,3066,1662,4442,6528,2345,3328,4044,13981,7756,4911,9463,0,2
5721,3192,4446,7865,2764,3051,1643,4404,6602,2325,3300,3996,13905,7710,4876,9347,0,2
5740,3195,4443,7867,2957,3055,1646,4424,6606,2336,3301,4004,13846,7690,4889,9281,0,2
5675,3120,4405,7801,2848,3019,1641,4403,6478,2324,3302,4002,13743,7645,4847,9355,0,2
3713,2367,3088,4747,2495,2456,1414,3282,4295,1873,2574,2953,6314,4042,3286,4653,0,3
3685,2407,3023,4712,2591,2517,1445,3322,4302,1912,2635,2998,6217,3989,3287,4677,0,3
3708,2497,3064,4741,2606,2590,1481,3345,4326,1973,2702,3036,6156,3999,3331,4730,0,3
3808,2516,3144,4842,2403,2633,1498,3433,4489,1986,2772,3130,6338,4141,3435,4828,0,3
3841,2555,3197,4906,2480,2615,1489,3454,4631,1995,2768,3116,6427,4208,3470,4917,0,3
3907,2414,3272,4946,1257,2649,1535,3454,3886,2018,2785,3150,6476,4233,3502,4712,0,3
3867,2499,3206,4902,2096,2622,1510,3461,4389,1997,2762,3137,6438,4218,3454,4751,0,3
3855,2512,3214,4899,2153,2592,1511,3467,4410,1992,2770,3137,6478,4244,3459,4824,0,3
3842,2429,3160,4835,2195,2524,1465,3381,4346,1933,2645,3050,6380,4139,3375,4710,0,3
3747,2415,3089,4760,2327,2487,1452,3351,4314,1912,2636,3030,6214,4070,3323,4551,0,3
3818,2474,3136,4793,2094,2551,1474,3413,4395,1966,2720,3087,6204,4077,3379,4596,0,3
3739,2437,3117,4738,2194,2532,1455,3374,4178,1956,2702,3055,6081,3998,3334,4522,0,3
3676,2382,3056,4665,2146,2530,1446,3304,4107,1931,2665,3002,6014,3954,3240,4450,0,3
3623,2343,2976,4555,2125,2448,1384,3190,4080,1886,2578,2911,5899,3818,3151,4342,0,3
5316,2931,4069,7221,2648,2843,1517,3979,5840,2162,3035,3590,12775,7060,4424,8734,0,4
5249,2911,4070,7225,2739,2850,1516,4016,5915,2163,3046,3593,12814,7053,4409,8770,0,4
5342,2938,4155,7383,2722,2902,1540,4116,6034,2228,3151,3722,13318,7328,4588,9158,0,4
5462,3022,4217,7513,2767,2946,1560,4162,6098,2237,3155,3725,13337,7334,4582,9090,0,4
5462,3027,4241,7520,2659,2960,1580,4163,6256,2256,3177,3742,13379,7362,4594,9130,0,4
5523,3014,4268,7569,2821,2972,1584,4177,6177,2256,3173,3755,13519,7396,4628,9146,0,4
5497,3005,4270,7566,2741,2900,1589,4045,6141,2241,3096,3622,12545,6915,4406,8450,0,4
5236,2847,4073,7304,2552,2894,1554,4098,6168,2245,3138,3708,13423,7372,4562,9128,0,4
5680,3054,4382,7836,2593,3034,1626,4288,6420,2299,3251,3839,13991,7643,4729,9436,0,4
5600,3038,4307,7717,2546,3002,1587,4191,6237,2266,3180,3753,13731,7523,4639,9228,0,4
5514,2984,4274,7634,2538,2956,1552,4163,6111,2245,3178,3745,13724,7492,4604,9304,0,4
5542,2989,4263,7656,2491,2962,1565,4168,6347,2261,3175,3758,13731,7505,4608,9283,0,4
5559,3000,4297,7688,2641,2964,1562,4200,6253,2263,3187,3779,13819,7548,4630,9374,0,4
5582,3022,4318,7722,2716,2979,1567,4195,6164,2274,3192,3792,13855,7557,4657,9373,0,4
1960,1351,1621,2524,1320,1526,960,1814,2405,1204,1548,1685,3576,2266,1866,2657,0,5
2096,1440,1725,2699,1348,1593,999,1895,2359,1234,1591,1717,3649,2289,1877,2580,0,5
2144,1523,1784,2731,1569,1686,1047,1963,2455,1285,1675,1785,3584,2289,1896,2633,0,5
2109,1449,1765,2700,1320,1665,1038,1941,2362,1280,1685,1783,3560,2276,1890,2623,0,5
2129,1498,1773,2686,1424,1679,1049,1930,2240,1272,1676,1780,3490,2235,1874,2601,0,5
2184,1514,1810,2749,1414,1731,1088,2014,2393,1335,1741,1853,3560,2296,1951,2623,0,5
2191,1512,1809,2748,1458,1729,1077,2017,2345,1326,1728,1839,3525,2307,1959,2615,0,5
2176,1504,1823,2752,1586,1736,1084,2008,2473,1324,1715,1824,3509,2272,1914,2551,0,5
2156,1503,1797,2713,1534,1712,1069,1986,2383,1320,1690,1799,3466,2228,1898,2551,0,5
2133,1470,1783,2700,1369,1713,1074,1981,2330,1317,1715,1801,3450,2253,1926,2614,0,5
2150,1467,1802,2699,1555,1715,1087,2000,2275,1318,1717,1819,3415,2234,1919,2569,0,5
2165,1533,1832,2730,1428,1773,1103,2031,2389,1358,1765,1853,3438,2237,1927,2529,0,5
2191,1539,1842,2741,1512,1769,1102,2030,2373,1352,1752,1851,3445,2251,1944,2544,0,5
2170,1516,1831,2742,1506,1760,1090,2040,2442,1365,1753,1850,3431,2259,1937,2645,0,5
1651,1394,1498,1974,1226,1674,1129,1783,1863,1298,1636,1601,1823,1439,1623,1558,0,6
1662,1395,1515,2015,1421,1640,1113,1771,1838,1290,1630,1617,1921,1459,1619,1585,0,6
1720,1399,1550,2093,1475,1671,1109,1830,1949,1305,1701,1675,2018,1542,1682,1651,0,6
1735,1303,1550,2112,1298,1538,980,1793,1973,1184,1596,1655,2200,1630,1689,1832,0,6
1749,1308,1555,2124,1248,1520,955,1799,2096,1176,1603,1668,2229,1651,1716,1840,0,6
1809,1349,1582,2162,1347,1481,929,1817,2093,1130,1572,1670,2313,1697,1735,1901,0,6
1803,1408,1593,2202,1515,1530,941,1864,2127,1184,1627,1706,2292,1709,1780,1874,0,6
1791,1480,1613,2140,1478,1733,1111,1899,1994,1349,1779,1721,1961,1513,1724,1606,0,6
1743,1430,1597,2090,1435,1720,1072,1869,2000,1324,1757,1697,1940,1511,1736,1562,0,6
1741,1482,1608,2090,1657,1758,1121,1865,2020,1370,1799,1714,1870,1497,1736,1581,0,6
1769,1467,1631,2125,1463,1757,1099,1911,2004,1364,1790,1743,1864,1496,1743,1541,0,6
1769,1447,1615,2102,1255,1602,985,1854,2180,1220,1679,1700,2069,1611,1750,1745,0,6
